year,mmsi,on_fishing_list,on_fishing_list_nn,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,length,tonnage,engine_power,days,hours,fishing_days,fishing_hours,fishing_kwh
2016,701537000,FALSE,TRUE,Argentina,ARG,NA,trawlers,trawlers,58.3792054117,1441.54144831,2282.58134661,41,637.9863888888887,7,44.70402777777778,102040.57992389082
2014,701007014,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,39.2409117577,625.966813455,1267.59959303,332,9513.161527777736,81,1311.3981944444454,1662327.8175780543
2015,441767000,TRUE,TRUE,South Korea,KOR,unknown,squid_jigger,squid_jigger,69.5,1123,1342,120,2766.61736111106,76,1046.672777777783,1404634.8677777783
2015,412329689,FALSE,TRUE,China,CHN,unknown,trawlers,trawlers,63.768824267,1617,2224.94979599,16,29.843194444444443,16,29.46388888888889,65555.67357240537
2016,440191000,TRUE,TRUE,South Korea,KOR,NA,trawlers,trawlers,70.2400581656,1681.68700342,3095.75076705,2,3.458194444444444,1,2.6590277777777773,8231.687282662811
2015,412420659,TRUE,FALSE,China,CHN,unknown,reefer,reefer,71.01,1587,2100,14,125.97666666666665,2,12.469722222222222,26186.416666666668
2015,701006063,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,33.6240586037,409.347893231,834.815652402,322,7641.297499999933,147,2634.0773611110903,2198969.010693321
2015,701006214,TRUE,TRUE,Argentina,ARG,NA,squid_jigger,squid_jigger,61.1578632212,831.647908857,1586.86036474,44,1002.0797222222212,11,97.83652777777777,155252.9081543396
2014,701000612,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,41.4709449621,608.942078205,1266.22969235,255,6045.921111111148,152,2851.4494444444476,3610589.9527904643
2015,701006020,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,34.7820227113,491.472189997,965.81142576,292,6852.674166666632,151,2655.840138888884,2565040.751130915
2014,440548000,TRUE,TRUE,South Korea,KOR,NA,squid_jigger,squid_jigger,58.2384719838,841.435747521,1296.16531297,103,2387.887638888888,53,544.9462500000003,706340.426683078
2014,441360000,TRUE,TRUE,South Korea,KOR,NA,squid_jigger,squid_jigger,54.0488577781,681.834940847,1284.53349824,107,2512.348472222224,47,584.0394444444445,750218.2306823682
2016,701006640,FALSE,TRUE,Argentina,ARG,NA,trawlers,trawlers,25.3262106709,180.117930159,489.508678797,342,7708.889166666663,179,2985.982916666666,1461664.552447913
2014,412420196,TRUE,TRUE,China,CHN,NA,squid_jigger,squid_jigger,56.0230886696,791.09449513,1300.51731176,13,167.82513888888892,3,7.471388888888889,9716.67059289131
